subject,step,task,n_trials
9523,S28_speech_26,speech_discrim_stepped,0
9523,S29_speech_27,speech_discrim_stepped,0
9523,S00_Free Water,speech_discrim,193
9523,S01_reqrewards,speech_discrim,0
9523,S02_tonediscrim,speech_discrim,0
9523,S03_speech_1,speech_discrim,0
9523,S04_speech_2,speech_discrim,0
9523,S05_speech_3,speech_discrim,0
8714,S00_Free Water,speech_discrim,304
8714,S01_reqrewards,speech_discrim,565
8714,S02_tonediscrim,speech_discrim,4664
8714,S03_speech_1,speech_discrim,3076
8714,S04_speech_2,speech_discrim,572
8714,S05_speech_3,speech_discrim,9323
9478,S00_Free Water,speech_discrim_stepped,201
9478,S01_reqrewards,speech_discrim_stepped,301
9478,S02_tonediscrim,speech_discrim_stepped,5051
9478,S03_speech_1,speech_discrim_stepped,9310
9478,S04_speech_2,speech_discrim_stepped,3111
9478,S05_speech_3,speech_discrim_stepped,2405
9478,S06_speech_4,speech_discrim_stepped,35020
9478,S07_speech_5,speech_discrim_stepped,0
9478,S08_speech_6,speech_discrim_stepped,0
9478,S09_speech_7,speech_discrim_stepped,0
9478,S10_speech_8,speech_discrim_stepped,0
9478,S11_speech_9,speech_discrim_stepped,0
9478,S12_speech_10,speech_discrim_stepped,0
9478,S13_speech_11,speech_discrim_stepped,0
9478,S14_speech_12,speech_discrim_stepped,0
9478,S15_speech_13,speech_discrim_stepped,0
9478,S16_speech_14,speech_discrim_stepped,0
9478,S17_speech_15,speech_discrim_stepped,0
9478,S18_speech_16,speech_discrim_stepped,0
9478,S19_speech_17,speech_discrim_stepped,0
9478,S20_speech_18,speech_discrim_stepped,0
9478,S21_speech_19,speech_discrim_stepped,0
9478,S22_speech_20,speech_discrim_stepped,0
9478,S23_speech_21,speech_discrim_stepped,0
9478,S24_speech_22,speech_discrim_stepped,0
9478,S25_speech_23,speech_discrim_stepped,0
9478,S26_speech_24,speech_discrim_stepped,0
9478,S27_speech_25,speech_discrim_stepped,0
9478,S28_speech_26,speech_discrim_stepped,0
9478,S29_speech_27,speech_discrim_stepped,0
8605,S00_Free Water,tone_discrim,201
8605,S01_req_rewards,tone_discrim,896
8605,S02_tone_discrim,tone_discrim,4343
8605,S00_Free Water,speech_discrim,0
8605,S01_reqrewards,speech_discrim,0
8605,S02_tonediscrim,speech_discrim,412
8605,S03_speech_1,speech_discrim,2142
8605,S04_speech_2,speech_discrim,1121
8605,S05_speech_3,speech_discrim,13569
153,S00_Free Water,gap_laser_PV,201
153,S01_request_rewards,gap_laser_PV,301
153,S02_long_gap,gap_laser_PV,3056
153,S03_gap_128,gap_laser_PV,571
153,S04_gap_64,gap_laser_PV,2197
153,S05_gap_all,gap_laser_PV,10057
153,S06_2AFC_Gap_Laser,gap_laser_PV,34345
8771,S00_Free Water,tone_discrim,201
8771,S01_req_rewards,tone_discrim,362
8771,S02_tone_discrim,tone_discrim,3414
8771,S00_Free Water,speech_discrim,0
8771,S01_reqrewards,speech_discrim,0
8771,S02_tonediscrim,speech_discrim,9775
